"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\adigu\Desktop\oop_ödev\app\modules\module_3\__init__.py", "Python", 12, 0, 1, 13
"c:\Users\adigu\Desktop\oop_ödev\app\modules\module_3\base.py", "Python", 42, 8, 11, 61
"c:\Users\adigu\Desktop\oop_ödev\app\modules\module_3\demo.py", "Python", 69, 41, 33, 143
"c:\Users\adigu\Desktop\oop_ödev\app\modules\module_3\implementations.py", "Python", 106, 266, 22, 394
"c:\Users\adigu\Desktop\oop_ödev\app\modules\module_3\repository.py", "Python", 39, 102, 4, 145
"c:\Users\adigu\Desktop\oop_ödev\app\modules\module_3\services.py", "Python", 262, 34, 48, 344
"Total", "-", 530, 451, 119, 1100
