"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\adigu\Desktop\oop_ödev\app\modules\module_3\demo.py", "Python", -6, -2, 0, -8
"c:\Users\adigu\Desktop\oop_ödev\app\modules\module_3\services.py", "Python", 0, -1, 0, -1
"Total", "-", -6, -3, 0, -9
