"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\adigu\Desktop\oop_ödev\app\modules\module_3\__init__.py", "Python", 0, 0, 1, 1
"c:\Users\adigu\Desktop\oop_ödev\app\modules\module_3\base.py", "Python", 35, 6, 10, 51
"c:\Users\adigu\Desktop\oop_ödev\app\modules\module_3\demo.py", "Python", 0, 0, 1, 1
"c:\Users\adigu\Desktop\oop_ödev\app\modules\module_3\implementations.py", "Python", 214, 67, 59, 340
"c:\Users\adigu\Desktop\oop_ödev\app\modules\module_3\repository.py", "Python", 33, 33, 4, 70
"c:\Users\adigu\Desktop\oop_ödev\app\modules\module_3\services.py", "Python", 213, 23, 30, 266
"Total", "-", 495, 129, 105, 729
