"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\adigu\Desktop\oop_ödev\app\modules\module_3\__init__.py", "Python", 12, 0, 1, 13
"c:\Users\adigu\Desktop\oop_ödev\app\modules\module_3\base.py", "Python", 39, 7, 10, 56
"c:\Users\adigu\Desktop\oop_ödev\app\modules\module_3\demo.py", "Python", 120, 16, 30, 166
"c:\Users\adigu\Desktop\oop_ödev\app\modules\module_3\implementations.py", "Python", 106, 266, 22, 394
"c:\Users\adigu\Desktop\oop_ödev\app\modules\module_3\repository.py", "Python", 39, 102, 4, 145
"c:\Users\adigu\Desktop\oop_ödev\app\modules\module_3\services.py", "Python", 262, 34, 48, 344
"Total", "-", 578, 425, 115, 1118
