"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\adigu\Desktop\oop_ödev\app\modules\module_3\base.py", "Python", -3, -1, -1, -5
"c:\Users\adigu\Desktop\oop_ödev\app\modules\module_3\demo.py", "Python", -69, -41, -32, -142
"Total", "-", -72, -42, -33, -147
