"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\adigu\Desktop\oop_ödev\app\modules\module_3\__init__.py", "Python", 12, 0, 1, 13
"c:\Users\adigu\Desktop\oop_ödev\app\modules\module_3\base.py", "Python", 45, 7, 12, 64
"c:\Users\adigu\Desktop\oop_ödev\app\modules\module_3\demo.py", "Python", 113, 13, 30, 156
"c:\Users\adigu\Desktop\oop_ödev\app\modules\module_3\implementations.py", "Python", 115, 298, 26, 439
"c:\Users\adigu\Desktop\oop_ödev\app\modules\module_3\repository.py", "Python", 39, 103, 4, 146
"c:\Users\adigu\Desktop\oop_ödev\app\modules\module_3\services.py", "Python", 336, 42, 64, 442
"Total", "-", 660, 463, 137, 1260
