"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\adigu\Desktop\oop_ödev\app\modules\module_3\__init__.py", "Python", 0, 0, 1, 1
"c:\Users\adigu\Desktop\oop_ödev\app\modules\module_3\base.py", "Python", 35, 6, 9, 50
"c:\Users\adigu\Desktop\oop_ödev\app\modules\module_3\demo.py", "Python", 0, 0, 1, 1
"c:\Users\adigu\Desktop\oop_ödev\app\modules\module_3\implementations.py", "Python", 214, 69, 59, 342
"c:\Users\adigu\Desktop\oop_ödev\app\modules\module_3\repository.py", "Python", 33, 0, 8, 41
"c:\Users\adigu\Desktop\oop_ödev\app\modules\module_3\services.py", "Python", 172, 21, 27, 220
"Total", "-", 454, 96, 105, 655
